;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
00:00-00:15;20,126;20,279;19,602;21,235;22,213;24,566;25,976;24,849;21,296;20,509;19,583;19,959
00:15-00:30;18,915;19,097;18,418;19,93;20,894;23,272;24,627;23,605;20,197;19,261;18,36;18,71
00:30-00:45;17,959;18,22;17,849;19,208;20,099;22,285;23,677;22,732;19,484;18,58;17,387;17,714
00:45-01:00;17,202;17,504;17,125;18,35;19,269;21,359;22,711;21,924;18,739;17,779;16,601;16,939
01:00-01:15;16,612;16,932;16,584;17,658;18,594;20,683;21,994;21,275;18,186;17,176;16,044;16,339
01:15-01:30;16,077;16,422;16,13;17,063;17,931;19,963;21,288;20,63;17,559;16,61;15,52;15,803
01:30-01:45;15,796;16,191;15,883;16,563;17,419;19,347;20,645;20,1;17,069;16,146;15,269;15,461
01:45-02:00;15,3;15,718;15,476;16,156;16,99;18,946;20,19;19,651;16,676;15,744;14,857;14,982
02:00-02:15;15,287;15,76;15,464;16,023;16,858;18,67;19,913;19,425;16,51;15,63;14,874;14,949
02:15-02:30;15,143;15,624;15,342;15,914;16,704;18,489;19,678;19,212;16,352;15,501;14,735;14,824
02:30-02:45;15,025;15,535;15,244;15,827;16,645;18,314;19,48;19,024;16,276;15,398;14,66;14,727
02:45-03:00;14,934;15,471;15,17;15,754;16,611;18,186;19,34;18,892;16,189;15,358;14,684;14,653
03:00-03:15;15,018;15,553;15,281;15,896;16,743;18,206;19,356;18,902;16,188;15,467;14,778;14,708
03:15-03:30;14,938;15,497;15,263;15,84;16,628;18,126;19,243;18,804;16,165;15,445;14,768;14,63
03:30-03:45;14,943;15,522;15,316;15,92;16,574;18,17;19,204;18,792;16,139;15,486;14,894;14,673
03:45-04:00;14,958;15,558;15,376;16,005;16,543;18,153;19,179;18,726;16,097;15,533;14,959;14,674
04:00-04:15;15,216;15,845;15,721;16,421;16,942;18,528;19,537;19,013;16,398;15,897;15,331;14,979
04:15-04:30;15,368;16,032;15,914;16,717;17,187;18,632;19,747;19,205;16,565;16,145;15,524;15,12
04:30-04:45;15,674;16,342;16,25;17,165;17,57;18,853;20,034;19,539;16,916;16,591;15,923;15,462
04:45-05:00;16,221;16,951;16,978;18,005;18,216;19,045;20,309;20,054;17,667;17,477;16,522;15,972
05:00-05:15;16,82;17,561;17,712;19,082;19,09;20,067;21,139;21,112;18,737;18,375;17,252;16,608
05:15-05:30;17,16;17,922;18,124;19,712;19,418;20,371;21,334;21,535;19,344;18,933;17,723;16,961
05:30-05:45;18,039;18,82;19,01;20,72;20,47;21,471;22,068;22,381;20,657;19,961;18,736;17,819
05:45-06:00;19,089;19,93;19,974;21,723;21,399;22,314;22,631;22,901;21,948;21,216;20,037;18,98
06:00-06:15;20,971;21,877;21,751;23,614;23,518;24,353;24,415;24,469;24,568;23,346;22,347;21,092
06:15-06:30;22,609;23,571;23,266;24,946;25,02;25,72;25,429;25,242;26,218;25,003;24,192;22,695
06:30-06:45;23,816;24,854;24,072;25,775;25,959;26,764;26,209;25,837;27,326;26,149;25,63;23,99
06:45-07:00;24,573;25,612;24,549;26,431;26,762;27,425;26,886;26,271;27,829;27,09;26,444;24,942
07:00-07:15;25,042;25,863;24,741;26,932;27,368;28,003;27,683;26,798;27,951;27,579;26,947;25,666
07:15-07:30;25,241;25,844;24,636;26,914;27,428;28,186;28,163;27,122;27,69;27,595;26,751;26,044
07:30-07:45;25,078;25,419;24,43;26,617;27,221;27,927;28,379;27,125;27,19;27,09;26,121;25,949
07:45-08:00;24,63;24,933;23,993;26,061;26,695;27,396;28,223;26,694;26,523;26,497;25,427;25,658
08:00-08:15;23,976;24,316;23,455;25,636;26,274;27,053;28,02;26,371;25,973;25,928;24,762;25,044
08:15-08:30;23,848;24,111;23,179;25,318;25,895;26,902;28,11;26,412;25,63;25,717;24,299;24,858
08:30-08:45;23,238;23,498;22,61;24,832;25,436;26,62;28,087;26,272;25,362;25,28;23,566;24,296
08:45-09:00;22,944;23,083;22,213;24,491;25,054;26,389;28,096;26,272;25,056;24,967;23,064;23,919
09:00-09:15;22,673;22,81;22,082;24,461;25,055;26,28;28,306;26,568;25,166;24,922;22,844;23,697
09:15-09:30;22,767;22,818;22,077;24,509;24,976;26,276;28,449;26,709;25,225;24,911;22,759;23,545
09:30-09:45;22,682;22,707;22,087;24,345;24,869;26,144;28,427;26,649;25,08;24,948;22,595;23,509
09:45-10:00;22,658;22,608;22,002;24,253;24,616;25,945;28,344;26,668;24,99;24,824;22,438;23,548
10:00-10:15;22,558;22,388;21,806;24,086;24,551;25,788;28,352;26,71;24,913;24,708;22,263;23,444
10:15-10:30;22,69;22,336;21,93;24,053;24,6;25,95;28,654;26,871;25,038;24,858;22,435;23,536
10:30-10:45;22,964;22,572;22,174;24,343;24,887;26,097;29,056;27,321;25,318;25,21;22,771;23,859
10:45-11:00;23,42;22,887;22,594;24,625;25,48;26,699;29,474;27,847;25,862;25,556;23,179;24,214
11:00-11:15;24,061;23,652;23,188;25,164;26,009;27,366;30,299;28,688;26,488;26,192;23,851;24,911
11:15-11:30;24,863;24,321;24,037;25,992;26,816;28,161;31,3;29,553;27,317;27,128;24,704;25,657
11:30-11:45;25,576;24,965;24,681;26,587;27,566;28,958;32,139;30,346;27,95;27,923;25,41;26,3
11:45-12:00;25,998;25,326;25,052;27,069;28,003;29,466;32,594;30,955;28,356;28,393;25,889;26,682
12:00-12:15;26,174;25,36;25,13;27,339;28,453;30,071;33,039;31,414;28,811;28,699;26,137;26,751
12:15-12:30;26,229;25,319;25,125;27,411;28,498;30,265;33,043;31,47;28,8;28,653;26,286;26,816
12:30-12:45;26,313;25,225;25,119;27,224;28,448;30,096;32,732;31,245;28,649;28,534;26,388;26,951
12:45-13:00;26,255;25,073;25,177;27,062;28,376;29,938;32,485;30,953;28,367;28,321;26,384;26,847
13:00-13:15;26,138;24,856;24,933;26,899;28,287;29,872;32,164;30,675;28,169;28,155;26,237;26,603
13:15-13:30;26,006;24,774;24,892;26,806;28,161;29,646;31,896;30,528;28,087;27,983;26,299;26,656
13:30-13:45;26,094;24,732;24,876;26,532;27,77;29,53;31,51;30,245;27,849;27,751;26,33;26,697
13:45-14:00;25,821;24,425;24,555;26,027;27,373;29,164;31,243;29,855;27,561;27,378;25,975;26,452
14:00-14:15;25,455;23,98;24,238;25,677;27,098;28,938;30,923;29,621;27,199;27,114;25,698;26,185
14:15-14:30;25,443;23,892;24,163;25,488;26,889;28,706;30,804;29,387;27,005;26,941;25,65;26,207
14:30-14:45;25,311;23,777;24,132;25,214;26,677;28,503;30,464;29,07;26,776;26,819;25,635;26,211
14:45-15:00;25,408;23,886;24,167;25,257;26,792;28,71;30,491;29,221;26,8;26,874;25,895;26,498
15:00-15:15;25,858;24,258;24,624;25,586;27,071;28,887;30,662;29,453;27,174;27,225;26,542;27,04
15:15-15:30;25,975;24,312;24,569;25,601;27,069;28,917;30,703;29,481;27,31;27,257;26,725;27,334
15:30-15:45;26,285;24,493;24,756;25,739;27,197;29,161;30,828;29,601;27,53;27,353;27,083;27,888
15:45-16:00;26,865;24,876;25,067;26,057;27,484;29,525;31,139;30,035;27,962;27,691;27,808;28,669
16:00-16:15;28,065;25,8;25,897;26,758;28,19;30,139;31,864;30,777;28,743;28,561;29,314;30,347
16:15-16:30;29,198;26,565;26,403;27,3;28,8;30,738;32,477;31,376;29,393;29,205;30,643;31,919
16:30-16:45;30,509;27,47;27,081;28,039;29,454;31,405;33,25;32,06;30,078;30,055;32,588;33,722
16:45-17:00;32,156;28,652;27,962;28,915;30,512;32,463;34,262;32,937;31,127;31,257;34,764;35,577
17:00-17:15;34,769;30,62;29,427;30,325;31,911;33,719;35,506;34,282;32,614;33,074;37,698;37,795
17:15-17:30;36,779;32,488;30,791;31,541;33,222;34,995;36,877;35,568;34,005;34,784;39,714;39,068
17:30-17:45;38,382;34,477;32,16;32,965;34,65;36,264;38,028;36,86;35,445;36,575;41,051;39,869
17:45-18:00;39,899;37,045;33,94;34,51;36,174;37,76;39,264;38,25;36,961;38,465;42,35;40,882
18:00-18:15;40,96;39,35;35,863;35,941;37,559;39,058;40,522;39,435;38,494;40,486;43,392;41,695
18:15-18:30;41,542;41,044;37,681;37,18;38,812;40,211;41,536;40,511;39,683;42,229;43,952;42,181
18:30-18:45;41,918;42,029;39,363;38,263;39,718;41,2;42,49;41,439;40,842;44,094;44,232;42,432
