Datum;Uhrzeit;Erzeugte_Leistung_kW
01.01.2020;00:00;0,0
01.01.2020;00:15;0,0
01.01.2020;00:30;0,0
01.01.2020;00:45;0,0
01.01.2020;01:00;0,0
01.01.2020;01:15;0,0
01.01.2020;01:30;0,0
01.01.2020;01:45;0,0
01.01.2020;02:00;0,0
01.01.2020;02:15;0,0
01.01.2020;02:30;0,0
01.01.2020;02:45;0,0
01.01.2020;03:00;0,0
01.01.2020;03:15;0,0
01.01.2020;03:30;0,0
01.01.2020;03:45;0,0
01.01.2020;04:00;0,0
01.01.2020;04:15;0,0
01.01.2020;04:30;0,0
01.01.2020;04:45;0,0
01.01.2020;05:00;0,0
01.01.2020;05:15;0,0
01.01.2020;05:30;0,0
01.01.2020;05:45;0,0
01.01.2020;06:00;0,0
01.01.2020;06:15;0,0
01.01.2020;06:30;0,0
01.01.2020;06:45;0,0
01.01.2020;07:00;0,0
01.01.2020;07:15;0,0
01.01.2020;07:30;0,0
01.01.2020;07:45;0,0
01.01.2020;08:00;0,0
01.01.2020;08:15;0,19336
01.01.2020;08:30;0,38672
01.01.2020;08:45;0,58008
01.01.2020;09:00;0,77344
01.01.2020;09:15;1,6194600000000001
01.01.2020;09:30;2,27212
01.01.2020;09:45;2,92478
01.01.2020;10:00;3,57744
01.01.2020;10:15;3,777
01.01.2020;10:30;3,3239
01.01.2020;10:45;2,8708
01.01.2020;11:00;2,4177
01.01.2020;11:15;2,5828599999999997
01.01.2020;11:30;3,2011199999999995
01.01.2020;11:45;3,8193799999999998
01.01.2020;12:00;4,43764
01.01.2020;12:15;5,18464
01.01.2020;12:30;5,3133799999999995
01.01.2020;12:45;5,44212
01.01.2020;13:00;5,57086
01.01.2020;13:15;5,3821
01.01.2020;13:30;5,0646
01.01.2020;13:45;4,7471000000000005
01.01.2020;14:00;4,429600000000001
01.01.2020;14:15;3,7935600000000007
01.01.2020;14:30;3,4750200000000007
01.01.2020;14:45;3,15648
01.01.2020;15:00;2,83794
01.01.2020;15:15;2,01552
01.01.2020;15:30;1,51164
01.01.2020;15:45;1,0077600000000002
01.01.2020;16:00;0,5038800000000001
01.01.2020;16:15;0,0
01.01.2020;16:30;0,0
01.01.2020;16:45;0,0
01.01.2020;17:00;0,0
01.01.2020;17:15;0,0
01.01.2020;17:30;0,0
01.01.2020;17:45;0,0
01.01.2020;18:00;0,0
01.01.2020;18:15;0,0
01.01.2020;18:30;0,0
01.01.2020;18:45;0,0
01.01.2020;19:00;0,0
01.01.2020;19:15;0,0
01.01.2020;19:30;0,0
01.01.2020;19:45;0,0
01.01.2020;20:00;0,0
01.01.2020;20:15;0,0
01.01.2020;20:30;0,0
01.01.2020;20:45;0,0
01.01.2020;21:00;0,0
01.01.2020;21:15;0,0
01.01.2020;21:30;0,0
01.01.2020;21:45;0,0
01.01.2020;22:00;0,0
01.01.2020;22:15;0,0
01.01.2020;22:30;0,0
01.01.2020;22:45;0,0
01.01.2020;23:00;0,0
01.01.2020;23:15;0,0
01.01.2020;23:30;0,0
01.01.2020;23:45;0,0
02.01.2020;00:00;0,0
02.01.2020;00:15;0,0
02.01.2020;00:30;0,0
02.01.2020;00:45;0,0
02.01.2020;01:00;0,0
02.01.2020;01:15;0,0
02.01.2020;01:30;0,0
02.01.2020;01:45;0,0
02.01.2020;02:00;0,0
02.01.2020;02:15;0,0
02.01.2020;02:30;0,0
02.01.2020;02:45;0,0
02.01.2020;03:00;0,0
02.01.2020;03:15;0,0
02.01.2020;03:30;0,0
02.01.2020;03:45;0,0
02.01.2020;04:00;0,0
02.01.2020;04:15;0,0
02.01.2020;04:30;0,0
02.01.2020;04:45;0,0
02.01.2020;05:00;0,0
02.01.2020;05:15;0,0
02.01.2020;05:30;0,0
02.01.2020;05:45;0,0
02.01.2020;06:00;0,0
02.01.2020;06:15;0,0
